Ville;pays;adresse_full;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Paris;France;Paris France;550000;CGT;112000;;;94000;;
Marseille;France;Marseille France;130000;intersyndicale;11000;;;;;
Toulouse;France;Toulouse France;100000;intersyndicale;13500;;;;;
Bordeaux;France;Bordeaux France;100000;CGT;12000;25000;Sud-Ouest;;;https://www.sudouest.fr/economie/social/greve/manifestation-du-1er-mai-a-bordeaux-deja-plusieurs-milliers-de-manifestants-au-depart-14986927.php
Nantes;France;Nantes France;80000;intersyndicale;17500;;;;;https://www.ouest-france.fr/economie/retraites/direct-suivez-la-manifestation-du-1er-mai-en-loire-atlantique-488ef362-e5d5-11ed-a421-d61b66109416
Lille;France;Lille France;12000;intersyndicale;7000;8500;La Voix du Nord;;;https://www.lavoixdunord.fr/1322281/article/2023-05-01/direct-retraites-arras-bethune-calais-les-premieres-manifestations-partiront-9-h
Grenoble;France;Grenoble France;38000;intersyndicale;15000;;;;;https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/isere/grenoble/direct-manifestation-du-1er-mai-les-syndicats-esperent-une-journee-historique-suivez-la-mobilisation-a-grenoble-2764174.html
Lyon;France;Lyon France;45000;CGT;17000;;;;;
Clermont-Ferrand;France;Clermont-Ferrand France;25000;intersyndicale;14000;;;;;
Le Havre;France;Le Havre France;18000;CGT;4800;17500;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-suivez-les-manifestations-du-1er-mai-a-caen-le-havre-lisieux-vire-et-falaise-1ef37602-e75d-11ed-8c27-046e988bea0b
Caen;France;Caen France;40000;CGT;16300;;;;;https://www.francebleu.fr/infos/economie-social/les-manifestations-du-1er-mai-ont-debute-3143263
Limoges;France;Limoges France;40000;CGT;16000;;;;;https://www.francetvinfo.fr/economie/retraite/reforme-des-retraites/direct-mobilisation-du-1er-mai-une-fete-du-travail-annoncee-comme-historique-contre-la-reforme-des-retraites_5801279.html
Montpellier;France;Montpellier France;18000;intersyndicale;8000;;;;;https://www.midilibre.fr/2023/05/01/manifestation-du-1er-mai-la-foule-afflue-place-albert-1er-a-montpellier-suivez-la-mobilisation-en-direct-11168437.php
Brest;France;Brest France;33000;intersyndicale;15000;20000;Le Télégramme;;;https://www.letelegramme.fr/finistere/brest/direct-manifestation-du-1er-mai-suivez-la-mobilisation-a-brest-01-05-2023-13328488.php
Nancy;France;Nancy France;10000;CGT;4500;;;;;https://www.francebleu.fr/infos/economie-social/plusieurs-milliers-de-personnes-dans-les-rues-de-nancy-a-l-occasion-de-la-manifestation-du-1er-mai-8159541
