Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Paris;Paris France;48.856614;2.3522219;400000;CGT;57000;;;;;ok
Marseille;Marseille France;43.296482;5.36978;170000;CGT;10000;;;;;ok
Toulouse;Toulouse France;43.604652;1.444209;90000;CGT;15000;;;;;https://actu.fr/occitanie/toulouse_31555/greve-du-6-avril-blocages-perturbations-et-manif-suivez-la-situation-a-toulouse_58701776.html
Bordeaux;Bordeaux France;44.837789;-0.57918;60000;intersyndicale;10000;;;;;https://www.leprogres.fr/politique/2023/04/06/retraites-quelle-mobilisation-ce-jeudi-apres-l-echec-de-la-rencontre-avec-borne
Nantes;Nantes France;47.218371;-1.553621;;;15000;18000;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-6-avril-manifestations-blocages-et-etat-du-trafic-a-nantes-saint-nazaire-b32199c2-d3bb-11ed-8669-5c45fd74f594
Lille;Lille France;50.62925;3.057256;;;;5390;Voix du Nord;;;https://www.lavoixdunord.fr/1312672/article/2023-04-06/direct-retraites-11e-journee-de-mobilisation-les-discussions-entre-les-syndicats
Grenoble;Grenoble France;45.188529;5.724524;26000;intersyndicale;10000;;;;;https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/isere/grenoble/direct-greve-du-6-avril-a-grenoble-suivez-la-manifestation-contre-la-reforme-des-retraites-2748498.html
Lyon;Lyon France;45.764043;4.835659;32000;intersyndicale;13000;;;;;https://www.leprogres.fr/politique/2023/04/06/retraites-quelle-mobilisation-ce-jeudi-apres-l-echec-de-la-rencontre-avec-borne
Clermont-Ferrand;Clermont-Ferrand France;45.777222;3.087025;15000;intersyndicale;7500;;;;;https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/puy-de-dome/clermont-ferrand/greve-et-manifestation-du-6-avril-a-clermont-ferrand-contre-la-reforme-des-retraites-il-y-a-une-colere-generale-2748242.html
Le Havre;Le Havre France;49.49437;0.107929;;;5500;;;;;https://www.paris-normandie.fr/id403217/article/2023-04-06/direct-manifestations-du-6-avril-blocages-au-havre-rond-point-bloque-fecamp
Caen;Caen France;49.182863;-0.370679;24000;intersyndicale;;;;;Selon les syndicats, entre 23 et 25 000 personnes manifestent à Caen;https://actu.fr/normandie/caen_14118/greve-du-6-avril-a-caen-suivez-les-blocages-et-la-manifestation_58714974.html
Limoges;Limoges France;45.833619;1.261105;25000;intersyndicale;3800;;;;;https://www.francebleu.fr/infos/economie-social/manifestations-contre-la-reforme-des-retraites-dans-le-limousin-suivez-notre-direct-1005135
Montpellier;Montpellier France;43.610769;3.876716;12000;CGT;8000;;;;;https://france3-regions.francetvinfo.fr/occitanie/herault/montpellier/direct-greve-du-6-avril-contre-la-reforme-des-retraites-des-blocages-a-montpellier-et-nimes-en-attendant-les-manifestations-2748210.html
Brest;Brest France;48.390394;-4.486076;17000;intersyndicale;10000;;;;La police a précisé que les manifestants étaient <i>« moins de 10 000 »</i>;https://actu.fr/bretagne/brest_29019/greve-du-6-avril-a-brest-des-blocages-de-bonne-heure-ce-matin-suivez-la-manifestation_58722967.html
Nancy;Nancy France;48.692054;6.184417;;;4000;;;;;https://www.estrepublicain.fr/social/2023/04/06/reforme-des-retraites-en-meurthe-et-moselle-et-en-meuse-suivez-avec-nous-cette-nouvelle-journee-d-action
Nice;Nice France;43.7101728;7.2619532;20000;;2300;;;;;ok
Rennes;Rennes France;48.117266;-1.6777926;20000;Force ouvrière;8500;;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-11e-journee-de-mobilisation-les-syndicats-maintiennent-la-pression-3623f982-d42f-11ed-8b00-1728a73f4c85
Saint-Etienne;Saint-Etienne France;45.439695;4.3871779;15000;CGT;4200;5550;Le Progrès;;;https://www.leprogres.fr/social/2023/04/06/reforme-des-retraites-c-est-parti-pour-la-11e-mobilisation-a-saint-etienne-et-roanne
Orléans;Orléans France;47.902964;1.909251;11000;CGT;3600;;;;;https://www.francebleu.fr/infos/economie-social/manifestation-contre-la-reforme-des-retraites-la-mobilisation-en-baisse-a-orleans-2347759
Strasbourg;Strasbourg France;48.5734053;7.7521113;12000;;5600;;Dernières Nouvelles d'Alsace;;;https://www.dna.fr/social/2023/04/06/retraites-manifestation-a-strasbourg-a-partir-de-14h#bd64acec-9974-426e-b79f-40bfde637c9f
Toulon;Toulon France;43.124228;5.928;15000;intersyndicale;4000;;;;;https://www.24liveblog.com/live/UAdL1
Avignon;Avignon France;43.949317;4.805528;20000;CGT;3200;;;;;https://www.francebleu.fr/infos/societe/photos-reforme-des-retraites-20-000-manifestants-a-avignon-selon-les-syndicats-6773695
Nîmes;Nîmes France;43.836699;4.360054;20000;;3000;;;;;https://www.midilibre.fr/2023/04/06/montpellier-11e-mobilisation-contre-la-reforme-des-retraites-la-faculte-des-sciences-bloquee-11115780.php
Rodez;Rodez France;44.349389;2.575986;7500;intersyndicale;;;;;;https://www.ladepeche.fr/2023/04/06/direct-reforme-des-retraites-manifestations-blocages-suivez-la-11e-journee-de-mobilisation-contre-le-projet-de-loi-11114000.php
Montauban;Montauban France;44.0221252;1.3529599;5000;CGT;;;;;;https://www.ladepeche.fr/2023/04/06/direct-reforme-des-retraites-manifestations-blocages-suivez-la-11e-journee-de-mobilisation-contre-le-projet-de-loi-11114000.php
Pau;Pau France;43.2951;-0.370797;13000;intersyndicale;7200;;;;;https://www.larepubliquedespyrenees.fr/societe/greve-et-manifestations/pau-nouvelle-manifestation-pour-la-11e-journee-d-action-contre-la-reforme-des-retraites-14704108.php
Dijon;Dijon France;47.322047;5.04148;12000;;4500;;;;;https://www.bienpublic.com/social/2023/04/06/beaune-dijon-montbard-suivez-la-onzieme-journee-de-manifestations-en-cote-d-or
Bayonne;Bayonne France;43.492949;-1.474841;15000;intersyndicale;4800;;;;;https://www.sudouest.fr/pyrenees-atlantiques/bayonne/greve-du-6-avril-a-bayonne-15-000-manifestants-reunis-d-apres-l-intersyndicale-14704911.php
Tarbes;Tarbes France;43.232951;0.078082;10000;intersyndicale;4000;;;;;https://www.ladepeche.fr/2023/04/06/direct-reforme-des-retraites-manifestations-blocages-suivez-la-11e-journee-de-mobilisation-contre-le-projet-de-loi-11114000.php
Rouen;Rouen France;49.443232;1.099971;14000;CGT;7900;;;;;https://www.paris-normandie.fr/id403217/article/2023-04-06/direct-manifestations-du-6-avril-blocages-au-havre-rond-point-bloque-fecamp
Albi;Albi France;43.9250853;2.1486413;;;;8000;La Dépêche;;;https://www.ladepeche.fr/2023/04/06/direct-reforme-des-retraites-manifestations-blocages-suivez-la-11e-journee-de-mobilisation-contre-le-projet-de-loi-11114000.php
Perpignan;Perpignan France;42.6886591;2.8948332;15000;intersyndicale;4700;;;;;https://actu.fr/societe/greve-du-6-avril-blocages-manifestations-le-point-sur-la-situation-en-occitanie_58722076.html
Valence;Valence France;44.933393;4.89236;15000;CGT;4200;;;;;https://www.francebleu.fr/infos/economie-social/en-direct-suivez-la-11e-journee-de-mobilisation-retraites-en-drome-et-en-ardeche-6958500
Poitiers;Poitiers France;46.580224;0.340375;8000;CGT;4000;;;;;https://www.lanouvellerepublique.fr/poitiers/poitiers-onzieme-manifestation-contre-la-reforme-des-retraites-ce-jeudi-6-avril-2023-direct?queryId%5Bquery1%5D=57cd2206459a452f008b4594&queryId%5Bquery2%5D=57c95b34479a452f008b459d&page=2&pageId=57da5cf9459a4552008b4b2b
Amiens;Amiens France;49.894067;2.295753;;;;;;;;
Le Mans;Le Mans France;48.00611;0.199556;10000;;4200;;;;;https://actu.fr/pays-de-la-loire/le-mans_72181/greve-du-6-avril-blocages-manifestations-suivez-la-situation-en-sarthe_58721156.html
La Roche-sur-Yon;La Roche-sur-Yon France;46.670511;-1.426442;6000;;3100;;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-6-avril-manifestations-perturbations-suivez-la-mobilisation-en-vendee-85b31358-d393-11ed-99f5-cf54f2f7aae2
Foix;Foix France;42.964127;1.605232;11000;;2500;;;;;https://www.ladepeche.fr/2023/04/06/direct-reforme-des-retraites-manifestations-blocages-suivez-la-11e-journee-de-mobilisation-contre-le-projet-de-loi-11114000.php
Béziers;Béziers France;43.344233;3.215795;;;2000;;;;;https://www.francebleu.fr/infos/economie-social/photos-pres-de-12-000-manifestants-dans-les-rues-de-montpellier-contre-la-reforme-des-retraites-2591280
Brive;Brive France;45.159555;1.533937;;;;;;;;
Angers;Angers France;47.4711616;-0.5518257;7000;;;;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-6-avril-les-manifestations-et-blocages-a-angers-cholet-saumur-et-segre-63754260-d3ad-11ed-99f5-cf54f2f7aae2
Chambéry;Chambéry France;45.564601;5.917781;;;;;;;;
