Ville;adresse_full;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Paris;Paris France;300000;CGT;37000;;;;AFP
Marseille;Marseille France;90000;;7000;;;;https://www.laprovence.com/article/region/175606008461916/direct-laprovence-reforme-des-retraites-cinq-corteges-en-provence-perturbations-dans-les-transports-toutes-nos-infos
Toulouse;Toulouse France;65000;;14000;;;;https://france3-regions.francetvinfo.fr/occitanie/haute-garonne/toulouse/direct-greve-du-16-fevrier-contre-la-reforme-des-retraites-suivez-la-mobilisation-a-toulouse-et-le-rendez-vous-national-a-albi-2715194.html
Lille;Lille France;40000;Intersyndicale;10700;;;;https://www.lavoixdunord.fr/1292214/article/2023-02-16/direct-retraites-cinquieme-journee-de-mobilisation-avant-un-vote-toujours
Bordeaux;Bordeaux France;30000;;8000;;;;https://www.sudouest.fr/economie/reforme-des-retraites/greve-du-16-fevrier-a-bordeaux-suivez-les-temps-forts-de-cette-cinquieme-journee-de-mobilisation-14080038.php
Nantes;Nantes France;10000;;;7000;Ouest-France;6 000 à 8 000;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-16-fevrier-suivez-la-manifestation-a-nantes-80ec69a2-adee-11ed-a7fa-81e9d82a996b
Le Havre;Le Havre France;29000;Intersyndicale;7500;;;;https://www.paris-normandie.fr/id388769/article/2023-02-16/direct-reforme-des-retraites-en-normandie-une-cinquieme-journee-de-mobilisation
Lyon;Lyon France;20000;;8000;;;;https://www.leprogres.fr/social/2023/02/16/reforme-des-retraites-suivez-la-cinquieme-journee-de-manifestation-a-lyon
Grenoble;Grenoble France;15000;Intersyndicale;7000;;;;https://www.ledauphine.com/social/2023/02/16/greves-et-manifestations-en-isere-suivez-la-mobilisation-contre-la-reforme-des-retraites
Rennes;Rennes France;12000;;6700;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-16-fevrier-5e-jour-de-manifestation-a-rennes-contre-la-reforme-des-retraites-6b4d1026-ad51-11ed-a71b-f0de2f009cfe
Caen;Caen France;10000;;6100;;;;https://actu.fr/normandie/caen_14118/greve-du-16-fevrier-a-caen-suivez-la-5e-journee-de-mobilisation-contre-la-reforme-des-retraites_57425938.html
Montpellier;Montpellier France;12000;CGT;7200;;;;https://france3-regions.francetvinfo.fr/occitanie/herault/montpellier/direct-greve-du-16-fevrier-contre-la-reforme-des-retraites-jean-luc-melenchon-attendu-dans-la-manifestation-a-montpellier-2715178.html
Orléans;Orléans France;9000;CGT;4000;;La République du Centre;;https://www.larep.fr/orleans-45000/actualites/reforme-des-retraites-suivez-en-direct-la-cinquieme-journee-de-mobilisation-dans-le-loiret_14263026/
Nice;Nice France;15000;Intersyndicale;2020;;;;https://www.nicematin.com/greve-mouvements-sociaux/greve-contre-la-reforme-des-retraites-les-corteges-deambulent-a-nice-et-draguignan-les-deputes-pcf-retirent-leurs-amendements-suivez-cette-journee-en-direct-828607
Saint-Etienne;Saint-Etienne France;10000;Intersyndicale;4450;;;;https://www.leprogres.fr/societe/2023/02/16/retraites-suivez-les-manifestations-a-saint-etienne-et-roanne
Limoges;Limoges France;15000;CGT;3200;;Le Populaire du Centre;;https://www.lepopulaire.fr/limoges-87000/actualites/retraites-dans-la-manifestation-de-ce-jeudi-a-limoges-les-esprits-deja-tournes-vers-le-7-mars_14263848/
Nîmes;Nîmes France;12000;;3000;;;;https://www.midilibre.fr/2023/02/16/reforme-des-retraites-un-tour-de-chauffe-a-nimes-avant-une-mobilisation-plus-dure-mardi-7-mars-11003859.php
Valence;Valence France;15000;CGT;2500;;;;https://www.ledauphine.com/social/2023/02/16/greves-et-manifs-dans-la-drome-et-l-ardeche-de-montelimar-au-cheylard-la-ville-et-la-ruralite-battent-le-pave
Cherbourg;Cherbourg France;;;1200;;Ouest-France;;https://www.ouest-france.fr/economie/retraites/direct-reformes-des-retraites-des-operations-escargot-autour-de-saint-lo-4cc594e0-ad4a-11ed-a71b-f0de2f009cfe
Strasbourg;Strasbourg France;10000;Intersyndicale;3200;;Dernières Nouvelles d'Alsace;;https://www.dna.fr/social/2023/02/16/nouvelle-mobilisation-ce-jeudi-dans-le-bas-rhin
Saint-Nazaire;Saint-Nazaire France;;;2000;;Ouest-France;;https://www.ouest-france.fr/economie/retraites/un-cortege-de-flambeaux-defile-dans-le-centre-ville-de-saint-nazaire-contre-la-reforme-des-retraites-a22ec8c0-ae21-11ed-a7fa-81e9d82a996b
Clermont-Ferrand;Clermont-Ferrand France;10000;;5000;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/cinquieme-journee-de-mobilisation-contre-la-reforme-des-retraites-suivez-notre-direct_14263655/
