Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Paris;Paris France;48.856614;2.3522219;500000;;87000;;;;https://www.lemonde.fr/politique/live/2023/01/31/greve-du-31-janvier-en-direct-je-descendrai-dans-la-rue-tant-qu-il-le-faudra_6159929_823448.html
Marseille;Marseille France;43.296482;5.36978;205000;CGT;40000;;;;https://www.bfmtv.com/marseille/en-direct-greve-du-31-janvier-a-marseille-le-trafic-tres-perturbe-dans-les-metros-bus-et-tramways-une-manifestation-prevue-a-10h30_LN-202301310019.html
Lyon;Lyon France;45.764043;4.835659;45000;;25000;;;;https://www.bfmtv.com/lyon/en-direct-greve-du-31-janvier-a-lyon-le-trafic-perturbe-dans-les-metros-bus-et-tramways-une-manifestation-prevue-a-14h_LN-202301310016.html
Toulouse;Toulouse France;43.604652;1.444209;80000;;34000;;;;https://france3-regions.francetvinfo.fr/occitanie/haute-garonne/toulouse/direct-greve-contre-la-reforme-des-retraites-toulouse-tarbes-cahors-montauban-suivez-la-mobilisation-en-midi-pyrenees-2704882.html
Nice;Nice France;43.7101728;7.2619532;25000;;7000;;;;https://www.midilibre.fr/2023/01/31/direct-suivez-la-deuxieme-journee-de-greve-interprofessionnelle-contre-la-reforme-des-retraites-de-ce-mardi-10963466.php
Nantes;Nantes France;47.218371;-1.553621;65000;;28000;45000;Ouest France;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-nantes-saint-nazaire-e5583488-a0a2-11ed-be8f-4d2939631a03
Strasbourg;Strasbourg France;48.5734053;7.7521113;22000;CGT;10500;15000;Dernières Nouvelles d'Alsace;;https://www.dna.fr/social/2023/01/31/strasbourg-nouvelle-manifestation-contre-la-reforme-des-retraites-a-partir-de-14h
Montpellier;Montpellier France;43.610769;3.876716;30000;;25000;;;;https://www.midilibre.fr/2023/01/31/direct-suivez-la-deuxieme-journee-de-greve-interprofessionnelle-contre-la-reforme-des-retraites-de-ce-mardi-10963466.php
Bordeaux;Bordeaux France;44.837789;-0.57918;75000;intersyndicale;16500;;;;https://www.sudouest.fr/gironde/bordeaux/greve-du-31-janvier-a-bordeaux-les-manifestants-s-elancent-de-la-place-des-quinconces-13879974.php
Rennes;Rennes France;48.117266;-1.6777926;30000;;23000;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-rennes-saint-malo-6c3b323c-a0aa-11ed-a11b-e98c72bb00dc
Le Havre;Le Havre France;49.49437;0.107929;40000;CGT;12000;;;;https://lemonde.sirius.press/news/4224695
Reims;Reims France;49.258329;4.031696;6000;;6000;;;;https://www.lunion.fr/id451623/article/2023-01-31/entre-5500-et-7500-personnes-ont-manifeste-reims-ce-mardi-31-janvier
Lille;Lille France;50.62925;3.057256;70000;intersyndicale;15000;;;;https://www.lavoixdunord.fr/1285500/article/2023-01-31/direct-reforme-des-retraites-les-syndicats-esperent-une-mobilisation-encore-plus
Saint-Etienne;Saint-Etienne France;45.439695;4.3871779;50000;intersyndicale;9200;;;;https://www.leprogres.fr/social/2023/01/31/reforme-des-retraites-les-corteges-se-forment-a-roanne-et-saint-etienne
Toulon;Toulon France;43.124228;5.928;18000;intersyndicale;9000;;;;https://www.francebleu.fr/infos/societe/reforme-des-retraites-forte-mobilisation-en-provence-pour-ce-31-janvier-8385500
Grenoble;Grenoble France;45.188529;5.724524;40000;;20000;;;;https://www.ledauphine.com/social/2023/01/31/greves-et-manifestations-en-isere-suivez-la-mobilisation-contre-la-reforme-des-retraites
Angers;Angers France;47.4711616;-0.5518257;13000;intersyndicale;;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-angers-cholet-saumur-da0b78e2-a0ac-11ed-a11b-e98c72bb00dc
Brest;Brest France;48.390394;-4.486076;;;16000;20000;Ouest-France;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-brest-quimper-morlaix-a4e19778-a0c5-11ed-be8f-4d2939631a03
Le Mans;Le Mans France;48.00611;0.199556;25000;intersyndicale;13500;13750;Ouest-France;;https://www.ouest-france.fr/economie/retraites/video-reforme-des-retraites-les-manifestants-du-mans-de-retour-place-des-jacobins-6bda7b3b-ade8-4ac0-87f2-b3c5cac59c57
Dijon;Dijon France;47.322047;5.04148;13000;intersyndicale;;;;;https://france3-regions.francetvinfo.fr/bourgogne-franche-comte/cote-d-or/dijon/direct-reforme-des-retraites-2705034.html
Aix-en-Provence;Aix-en-Provence France;43.529742;5.447427;;intersyndicale;;;;;
Clermont-Ferrand;Clermont-Ferrand France;45.777222;3.087025;37500;;17000;24000;La Montagne;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/24-000-manifestants-contre-la-reforme-des-retraites-a-clermont-ferrand-reportage-en-images-dans-le-defile_14255117/
Nîmes;Nîmes France;43.836699;4.360054;27000;intersyndicale;;;;;https://www.midilibre.fr/2023/01/31/greve-du-31-janvier-suivez-en-direct-la-manifestation-departementale-sur-les-retraites-a-nimes-10963901.php
Amiens;Amiens France;49.894067;2.295753;;;;;;;
Besançon;Besançon France;47.237829;6.0240539;14300;CGT;9000;;;;https://www.estrepublicain.fr/social/2023/01/31/greve-contre-la-reforme-des-retraites-en-franche-comte-suivez-la-journee-de-mobilisation
Caen;Caen France;49.182863;-0.370679;26000;;18000;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-caen-lisieux-bayeux-ab3ee562-a138-11ed-b727-95140ec04a42
