Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Paris;Paris France;48.856614;2.3522219;500000;CGT;93000;;;;
Marseille;Marseille France;43.296482;5.36978;140000;Intersyndicale;12000;;;;https://www.lamarseillaise.fr/accueil/les-manifestations-du-11-fevrier-en-direct-AH13272354
Toulouse;Toulouse France;43.604652;1.444209;100000;CGT;30000;;;;
Lille;Lille France;50.62925;3.057256;70000;Intersyndicale;10700;;;;https://www.lavoixdunord.fr/1290356/article/2023-02-11/direct-retraites-bethune-boulogne-saint-omer-douai-plusieurs-manifestations
Bordeaux;Bordeaux France;44.837789;-0.57918;80000;Intersyndicale;13500;;;;https://www.sudouest.fr/economie/reforme-des-retraites/manifestation-du-11-fevrier-en-gironde-la-mobilisation-a-commence-a-langon-14019757.php
Nantes;Nantes France;47.218371;-1.553621;70000;Intersyndicale;;47000;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-la-manifestation-du-11-fevrier-a-nantes-e09d9a72-a968-11ed-8143-2a8717a808f3
Le Havre;Le Havre France;49.49437;0.107929;20000;Intersyndicale;7800;;;;
Lyon;Lyon France;45.764043;4.835659;35000;Intersyndicale;15800;;;;https://www.leprogres.fr/social/2023/02/11/retraites-une-nouvelle-manifestation-s-elance-ce-samedi-a-lyon
Grenoble;Grenoble France;45.188529;5.724524;25000;Intersyndicale;10500;;;;
Rennes;Rennes France;48.117266;-1.6777926;40000;;25500;;;;https://twitter.com/PoliceNat35/status/1624427842296504326
Caen;Caen France;49.182863;-0.370679;30000;Intersyndicale;20000;;;;
Montpellier;Montpellier France;43.610769;3.876716;35000;Intersyndicale;20000;;;;
Orléans;Orléans France;47.902964;1.909251;33000;CGT;12500;;;;
Nice;Nice France;43.7101728;7.2619532;25000;CGT;5650;;;;
Saint-Etienne;Saint-Etienne France;45.439695;4.3871779;30000;Intersyndicale;5300;;;;
Limoges;Limoges France;45.833619;1.261105;16000;Intersyndicale;6000;;Le Populaire du Centre;;https://www.lepopulaire.fr/limoges-87000/actualites/mobilisation-contre-la-reforme-des-retraites-un-samedi-de-manifestations-en-haute-vienne_14260815/
Nîmes;Nîmes France;43.836699;4.360054;30000;Intersyndicale;7000;20000;Midi Libre;;https://www.midilibre.fr/2023/02/11/direct-manifestations-contre-la-reforme-des-retraites-suivez-les-temps-forts-en-france-et-en-region-10992046.php
Valence;Valence France;44.933393;4.89236;15000;CGT;4500;;;;
Cherbourg;Cherbourg France;49.6423;-1.62551;15000;Intersyndicale;;;;;
Strasbourg;Strasbourg France;48.5734053;7.7521113;20000;Intersyndicale;5900;7000;DNA;;https://www.dna.fr/social/2023/02/11/bas-rhin-strasbourg-nouvelles-manifestations-contre-la-reforme-des-retraites
Saint-Nazaire;Saint-Nazaire France;47.2734979;-2.213848;15000;Intersyndicale;9000;;;;
Clermont-Ferrand;Clermont-Ferrand France;45.777222;3.087025;30000;Intersyndicale;8000;;;;
Rouen;Rouen France;49.443232;1.099971;20000;Intersyndicale;9200;;;;
Metz;Metz France;49.1193089;6.1757156;5000;;4300;;;;
Le Mans;Le Mans France;48.00611;0.199556;25000;;14000;;;;
Quimper;Quimper France;47.997542;-4.097899;;;12000;20000;Ouest-France;;
Avignon;Avignon France;43.949317;4.805528;20000;CGT;5500;;;;https://www.lamarseillaise.fr/accueil/les-manifestations-du-11-fevrier-en-direct-AH13272354
Nancy;Nancy France;48.692054;6.184417;10000;Intersyndicale;6000;;;;
Dijon;Dijon France;47.322047;5.04148;10000;CGT;7500;;;;
Bayonne;Bayonne France;43.492949;-1.474841;12000;Intersyndicale;10000;;;;
Amiens;Amiens France;49.894067;2.295753;6500;CGT;4800;;;;https://www.courrier-picard.fr/id387381/article/2023-02-11/direct-reforme-des-retraites-nouvelle-journee-de-mobilisation-en-picardie
Pamiers;Pamiers France;43.114753;1.607953;9000;;3100;;;;
Pau;Pau France;43.2951;-0.370797;12000;Intersyndicale;8500;9500;Sud Ouest;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-manifestation-du-11-fevrier-suivez-les-temps-forts-de-la-mobilisation-14013392.php
Tours;Tours France;47.394144;0.68484;14000;;11500;;;;
Tarbes;Tarbes France;43.232951;0.078082;10000;;4600;;;;
Annecy;Annecy France;45.899247;6.129384;10000;Intersyndicale;4300;;;;
Saint-Brieuc;Saint-Brieuc France;48.51418;-2.765835;12000;;7600;;;;
Poitiers;Poitiers France;46.580224;0.340375;12000;CGT;6000;;;;
Le Puy-en-Velay;Le Puy-en-Velay France;45.042768;3.882936;11000;;3500;;;;
Valenciennes;Valenciennes France;50.357113;3.518332;7000;Intersyndicale;3200;;;;
Besançon;Besançon France;47.237829;6.0240539;14000;;;;;;https://www.estrepublicain.fr/social/2023/02/11/reforme-des-retraites-acte-iv-de-la-mobilisation-en-franche-comte-suivez-la-journee-avec-nous
Angers;Angers France;47.4711616;-0.5518257;16000;;13000;;;;
Morlaix;Morlaix France;48.577613;-3.828228;15000;Intersyndicale;6000;;;;
Châteauroux;Châteauroux France;46.811434;1.686779;;;;;;;
La Roche-sur-Yon;La Roche-sur-Yon France;46.670511;-1.426442;10000;Intersyndicale;6000;;;;
Chalon-sur-Saône;Chalon-sur-Saône France;46.780764;4.853947;4500;CGT;;;;;
Angoulême;Angoulême France;45.648377;0.1562369;5800;;5000;;;;
Laval;Laval France;48.0785146;-0.7669906;10000;Intersyndicale;;;;;
Tulle;Tulle France;45.26565;1.771697;7000;;2100;3500;La Montagne;;
Charleville-Mézières;Charleville-Mézières France;49.762085;4.726096;;;;;;;
Perpignan;Perpignan France;42.6886591;2.8948332;15000;;9000;;;;
Lannion;Lannion France;48.732084;-3.459144;7000;;5000;;;;
Niort;Niort France;46.323716;-0.464777;15000;;;;;;
Beauvais;Beauvais France;49.4295387;2.0807123;9000;;3000;;;;https://www.courrier-picard.fr/id387381/article/2023-02-11/direct-reforme-des-retraites-nouvelle-journee-de-mobilisation-en-picardie
Montauban;Montauban France;44.0221252;1.3529599;8000;;3200;;;;
Annonay;Annonay France;45.239403;4.667349;7000;CGT;;;;;
Montélimar;Montélimar France;44.556944;4.749496;5500;Intersyndicale;3300;;;;
Calais;Calais France;50.95129;1.858686;8000;Intersyndicale;3500;;;;
Epinal;Epinal France;48.172402;6.449403;;;;8000;L'Est républicain;;https://www.estrepublicain.fr/social/2023/02/11/reforme-des-retraites-nouvelle-contestation-d-ampleur-en-lorraine-suivez-les-manifestations-du-11-fevrier
Roanne;Roanne France;46.034432;4.072695;10000;Intersyndicale;6000;8000;Le Progrès;;https://www.leprogres.fr/societe/2023/02/11/reforme-des-retraites-suivez-les-manifestations-de-saint-etienne-et-roanne
Saint-Quentin;Saint-Quentin France;49.847066;3.2874;8000;Intersyndicale;;;;;https://www.aisnenouvelle.fr/id387465/article/2023-02-11/video-pres-de-8000-personnes-rassemblees-saint-quentin-pour-refuser-les-64-ans
Bourges;Bourges France;47.081012;2.398782;8000;CGT;3600;;;;
Reims;Reims France;49.258329;4.031696;6000;;3300;;;;https://www.lunion.fr/id455412/article/2023-02-11/3300-manifestants-reims-ce-samedi-11-fevrier-contre-la-reforme-des-retraites
Périgueux;Périgueux France;45.184029;0.7211149;7850;;5200;;;;
Douai;Douai France;50.367874;3.080602;8000;CGT;5500;4000;La Voix du Nord;;https://www.lavoixdunord.fr/1290356/article/2023-02-11/direct-retraites-bethune-boulogne-saint-omer-douai-plusieurs-manifestations
Bourg-en-Bresse;Bourg-en-Bresse France;46.204939;5.225621;;;;;;;
Alès;Alès France;44.127204;4.083352;;;4000;;;;
Ancenis;Ancenis France;47.365464;-1.177491;;;;;;;
