Ville;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Paris;48.856614;2.3522219;300000;CGT;48000;;;;;
Marseille;43.296482;5.36978;80000;intersyndicale;7000;;;;;
Nantes;47.218371;-1.553621;25000;intersyndicale;;14000;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-la-manifestation-du-11-mars-nantes-54630222-bf52-11ed-8b0a-102ab124256a
Toulouse;43.604652;1.444209;45000;CGT;10000;;;;;https://www.ladepeche.fr/2023/03/11/direct-reforme-des-retraites-manifestations-blocage-actions-suivez-la-septieme-journee-de-mobilisation-contre-le-projet-de-loi-11052915.php
Lyon;45.764043;4.835659;18000;;7000;;;;;https://www.bfmtv.com/economie/economie-social/social/en-direct-reforme-des-retraites-des-manifestations-partout-en-france-pour-cette-nouvelle-journee-de-mobilisation-intersyndicale-le-texte-toujours-examine-au-senat_LN-202303110050.html#article_177768
Montpellier;43.610769;3.876716;12000;;8000;10000;Midi Libre;;;https://www.midilibre.fr/2023/03/11/greve-du-11-mars-contre-la-reforme-des-retraites-mobilisation-slogans-images-suivez-la-manifestation-en-direct-11054699.php
Caen;49.182863;-0.370679;17500;;8200;;;;Entre 15 000 et 20 000 selon les syndicats;https://www.ouest-france.fr/economie/retraites/manifestation-du-11-mars-a-caen-les-manifestants-rassembles-contre-la-reforme-des-retraites-c0af0f6a-bff8-11ed-aa33-59ea232e8c60
Grenoble;45.188529;5.724524;11000;intersyndicale;4000;;;;;https://www.ledauphine.com/social/2023/03/11/greves-et-manifestations-en-isere-suivez-la-mobilisation-de-ce-samedi#ea9fb1de-f16f-4013-8b14-f00353928774
Brest;48.390394;-4.486076;11000;;6500;;;;Entre 6000 et 7000 selon la police, entre 10000 et 12000 selon les syndicats;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-11-mars-des-rassemblements-dans-les-grandes-villes-du-finistere-70aaafbe-bf63-11ed-8b0a-102ab124256a
Rennes;48.117266;-1.6777926;12000;FO;;;;;;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-11-mars-a-rennes-quelle-mobilisation-ce-samedi-e9f9fe5a-bf78-11ed-8b0a-102ab124256a
