Ville;pays;adresse_full;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Paris;France;Paris France;400000;CGT;42000;;Le Parisien;;;https://www.leparisien.fr/economie/retraites/direct-reforme-des-retraites-des-centaines-de-milliers-de-personnes-sont-attendues-13-04-2023-633XMNRWGBHIZDHLV6JQXC2DGI.php
Marseille;France;Marseille France;130000;CGT;6500;;Actu Marseille;;;https://actu.fr/provence-alpes-cote-d-azur/marseille_13055/direct-retraites-greve-blocages-suivez-la-manifestation-du-13-avril-a-marseille_58870028.html
Toulouse;France;Toulouse France;70000;CGT;9000;;La Dépêche du Midi;;;https://www.ladepeche.fr/2023/04/13/direct-manifestations-contre-la-reforme-des-retraites-les-francais-appeles-dans-la-rue-pour-la-12e-fois-suivez-la-mobilisation-11128786.php
Bordeaux;France;Bordeaux France;40000;intersyndicale;6200;10000;Sud-Ouest;;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-13-avril-quelle-sera-la-mobilisation-suivez-les-temps-forts-de-la-contestation-14777678.php
Nantes;France;Nantes France;25000;intersyndicale;10000;13500;Ouest France;;Entre 13 000 et 14 000 manifestants selon Ouest France.;https://www.ouest-france.fr/economie/retraites/direct-manifestations-du-13-avril-rassemblements-blocages-a-nantes-saint-nazaire-5969c472-d924-11ed-a8f2-3d52644ec35b
Lille;France;Lille France;40000;;3800;;;;;https://france3-regions.francetvinfo.fr/hauts-de-france/reforme-des-retraites-des-corteges-toujours-consequents-dans-les-hauts-de-france-pour-cette-12eme-journee-de-mobilisation-2752870.html
Grenoble;France;Grenoble France;11000;intersyndicale;4500;;France 3;;;https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/isere/grenoble/direct-grenoble-suivez-la-12eme-journee-de-mobilisation-contre-la-reforme-des-retraites-2753022.html
Lyon;France;Lyon France;22000;intersyndicale;9900;;Le Progrès;;;https://www.leprogres.fr/social/2023/04/13/retraites-la-raffinerie-de-feyzin-a-nouveua-bloquee-par-les-syndicats
Clermont-Ferrand;France;Clermont-Ferrand France;10000;;6000;7000;La Montagne;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/400-000-a-600-000-manifestants-attendus-en-france-pour-cette-12e-journee-de-mobilisation-suivez-notre-direct_14293137/
Le Havre;France;Le Havre France;20632;intersyndicale;3800;;;;;https://actu.fr/normandie/rouen_76540/retraites-suivez-l-acte-12-des-manifestations-a-rouen-et-au-havre_58862641.html
