Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Paris;Paris France;48.856614;2.3522219;800000;CGT;119000;;;83000;;https://www.lemonde.fr/politique/live/2023/03/23/manifestations-du-23-mars-en-direct-a-nantes-ce-n-est-pas-une-foule-qui-manifeste-c-est-un-peuple_6166641_823448.html?#id-899985
Marseille;Marseille France;43.296482;5.36978;280000;CGT;16000;;;;;
Nantes;Nantes France;47.218371;-1.553621;80000;intersyndicale;25000;40000;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-23-mars-suivez-les-manifestations-a-nantes-saint-nazaire-cb6b624c-c8bc-11ed-a412-5cbed970d9f5
Toulouse;Toulouse France;43.604652;1.444209;150000;;30000;;La Dépêche;;;https://www.ladepeche.fr/2023/03/23/direct-reforme-des-retraites-9e-journee-de-mobilisation-les-actions-se-multiplient-partout-en-france-11082176.php
Lyon;Lyon France;45.764043;4.835659;55000;intersyndicale;22000;;;;;
Montpellier;Montpellier France;43.610769;3.876716;40000;CGT;18000;;Midi Libre;;;https://www.midilibre.fr/2023/03/23/greve-du-23-mars-carole-delga-defile-a-montpellier-suivez-la-mobilisation-en-direct-11082524.php
Caen;Caen France;49.182863;-0.370679;45000;CGT;19200;;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-suivez-les-manifestations-ce-23-mars-contre-la-reforme-des-retraites-a-caen-et-le-calvados-163920f4-c8d9-11ed-a412-5cbed970d9f5
Grenoble;Grenoble France;45.188529;5.724524;56000;;19000;;;;;https://www.ledauphine.com/social/2023/03/23/reforme-des-retraites-plusieurs-blocages-pres-du-campus-de-grenoble
Brest;Brest France;48.390394;-4.486076;40000;;20000;30000;Ouest France;;;
Rennes;Rennes France;48.117266;-1.6777926;35000;Intersyndicale;22200;;Le Télégramme;;;
Clermont-Ferrand;Clermont-Ferrand France;45.777222;3.087025;50000;Intersyndicale;13500;;France 3 Régions;;;
Metz;Metz France;49.1193089;6.1757156;13000;CGT;7500;;France Bleu;;;https://www.francebleu.fr/infos/economie-social/en-images-a-metz-un-cortege-fourni-pour-la-manifestation-contre-la-reforme-des-retraites-5546079
Angers;Angers France;47.4711616;-0.5518257;16000;CFDT;9000;;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-et-manifestations-du-23-mars-a-angers-cholet-saumur-et-segre-a60fb05c-c8b7-11ed-a412-5cbed970d9f5
Bordeaux;Bordeaux France;44.837789;-0.57918;110000;Intersyndicale;18200;;;;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-23-mars-des-incidents-a-bordeaux-suivez-le-fil-de-la-journee-14537505.php
Pau;Pau France;43.2951;-0.370797;25000;CGT;16000;18000;Sud-Ouest;;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-23-mars-blocages-manifestations-suivez-les-temps-forts-de-la-mobilisation-14528043.php
Saint-Nazaire;Saint-Nazaire France;47.2734979;-2.213848;13000;Intersyndicale;9000;;Le Télégramme;;;https://www.letelegramme.fr/economie/retraites/blocages-manifestations-le-point-sur-la-mobilisation-en-bretagne-23-03-2023-13302756.php
